symbol,name,cap,sector
IRFC,Indian Railway Finance,small,finance
RVNL,Rail Vikas Nigam,small,infra
NHPC,NHPC,mid,energy
SJVN,SJVN,mid,energy
TATAPOWER,Tata Power,mid,energy
ADANIGREEN,Adani Green Energy,mid,energy
SUZLON,Suzlon Energy,small,energy
YESBANK,Yes Bank,small,bank
BANDHANBNK,Bandhan Bank,mid,bank
FEDERALBNK,Federal Bank,mid,bank
IDFCFIRSTB,IDFC First Bank,mid,bank
AUBANK,AU Small Finance Bank,small,bank
PNB,Punjab National Bank,large,bank
BANKBARODA,Bank of Baroda,large,bank
CANBK,Canara Bank,large,bank
UNIONBANK,Union Bank of India,large,bank
INDIANB,Indian Bank,mid,bank
IOB,Indian Overseas Bank,small,bank
CENTRALBK,Central Bank of India,small,bank
UCOBANK,UCO Bank,small,bank
BHEL,BHEL,mid,infra
BEL,Bharat Electronics,mid,defence
HAL,Hindustan Aeronautics,mid,defence
COCHINSHIP,Cochin Shipyard,small,defence
MAZDOCK,Mazagon Dock,mid,defence
POLYCAB,Polycab India,mid,fmcg
CROMPTON,Crompton Greaves,mid,fmcg
VOLTAS,Voltas,mid,fmcg
BLUESTARCO,Blue Star,mid,fmcg
WHIRLPOOL,Whirlpool India,mid,fmcg
DIXON,Dixon Technologies,mid,it
AMBER,Amber Enterprises,mid,auto
MOTHERSON,Samvardhana Motherson,mid,auto
BOSCHLTD,Bosch,mid,auto
EXIDEIND,Exide Industries,mid,auto
MRF,MRF,mid,auto
APOLLOTYRE,Apollo Tyres,mid,auto
CEATLTD,CEAT,mid,auto
ASHOKLEY,Ashok Leyland,mid,auto
ESCORTS,Escorts Kubota,mid,auto
TVSMOTOR,TVS Motor,mid,auto
BAJAJ-AUTO,Bajaj Auto,large,auto
PAGEIND,Page Industries,mid,fmcg
TRENT,Trent,mid,fmcg
SHOPERSTOP,Shoppers Stop,small,fmcg
ABFRL,Aditya Birla Fashion,mid,fmcg
JUBLFOOD,Jubilant Foodworks,mid,fmcg
DEVYANI,Devyani International,mid,fmcg
SAPPHIRE,Sapphire Foods,small,fmcg
NAUKRI,Info Edge,mid,it
POLICYBZR,PB Fintech,mid,finance
ANGELONE,Angel One,mid,finance
CDSL,Central Depository Services,mid,finance
CAMS,Computer Age Management,mid,finance
MCX,Multi Commodity Exchange,mid,finance
BSE,BSE,mid,finance
NMDC,NMDC,mid,metal
SAIL,Steel Authority of India,mid,metal
NATIONALUM,National Aluminium,mid,metal
HINDZINC,Hindustan Zinc,large,metal
JINDALSTEL,Jindal Steel,mid,metal
JSWENERGY,JSW Energy,mid,energy
RECLTD,REC,mid,finance
PFC,Power Finance Corporation,mid,finance
IRB,IRB Infrastructure,mid,infra
ADANIPOWER,Adani Power,mid,energy
TORNTPOWER,Torrent Power,mid,energy
CUMMINSIND,Cummins India,mid,auto
SIEMENS,Siemens,mid,infra
ABB,ABB India,mid,infra
THERMAX,Thermax,mid,infra
AIAENG,AIA Engineering,mid,infra
KEI,KEI Industries,mid,infra
FINPIPE,Finolex Industries,mid,infra
ASTRAL,Astral,mid,infra
SUPREMEIND,Supreme Industries,mid,infra
DEEPAKNTR,Deepak Nitrite,mid,chemical
PIIND,PI Industries,mid,chemical
SRF,SRF,mid,chemical
UPL,UPL,large,chemical
TATACHEM,Tata Chemicals,mid,chemical
ATUL,Atul,mid,chemical
ALKEM,Alkem Laboratories,mid,pharma
GLENMARK,Glenmark Pharmaceuticals,mid,pharma
LAURUSLABS,Laurus Labs,mid,pharma
GRANULES,Granules India,mid,pharma
NATCOPHARM,Natco Pharma,mid,pharma
IPCALAB,IPCA Laboratories,mid,pharma
ALKYLAMINE,Alkyl Amines,mid,chemical
CLEAN,Clean Science,mid,chemical
FINEORG,Fine Organic,mid,chemical
GALAXYSURF,Galaxy Surfactants,mid,chemical
SUMICHEM,Sumitomo Chemical,mid,chemical
SYNGENE,Syngene International,mid,pharma
METROPOLIS,Metropolis Healthcare,mid,healthcare
LALPATHLAB,Dr Lal PathLabs,mid,healthcare
MAXHEALTH,Max Healthcare,mid,healthcare
FORTIS,Fortis Healthcare,mid,healthcare
NH,Narayana Hrudayalaya,mid,healthcare
KIMS,Krishna Institute,mid,healthcare
RAINBOW,Rainbow Children's,mid,healthcare
STARHEALTH,Star Health Insurance,mid,finance
GICRE,General Insurance Corporation,mid,finance
LICI,Life Insurance Corporation,large,finance
MUTHOOTFIN,Muthoot Finance,mid,finance
MANAPPURAM,Manappuram Finance,mid,finance
CHOLAFIN,Cholamandalam Investment,mid,finance
SHRIRAMFIN,Shriram Finance,large,finance
M&MFIN,Mahindra & Mahindra Financial,mid,finance
LICHSGFIN,LIC Housing Finance,mid,finance
PNBHOUSING,PNB Housing Finance,mid,finance
AAVAS,Aavas Financiers,mid,finance
HOMEFIRST,Home First Finance,mid,finance
CREDITACC,CreditAccess Grameen,small,finance
CAPLIPOINT,Caplin Point Laboratories,mid,pharma
VIJAYA,Vijaya Diagnostic,mid,healthcare
KAYNES,Kaynes Technology,mid,it
CYIENT,Cyient,mid,it
KPITTECH,KPIT Technologies,mid,it
TATAELXSI,Tata Elxsi,mid,it
SONACOMS,Sona BLW,mid,auto
CRAFTSMAN,Craftsman Automation,mid,auto
SCHAEFFLER,Schaeffler India,mid,auto
TIMKEN,Timken India,mid,auto
SKFINDIA,SKF India,mid,auto
GRINDWELL,Grindwell Norton,mid,infra
CARBORUNIV,Carborundum Universal,mid,infra
FINCABLES,Finolex Cables,mid,infra
RRKABEL,RR Kabel,mid,infra
HONAUT,Honeywell Automation,mid,it
PERSISTENT,Persistent Systems,mid,it
